learning_rate,hidden_dim1,hidden_dim2,dropout_rate,val_accuracy
0.01,64,32,0.3,0.7561608552932739
0.01,64,32,0.5,0.7581063508987427
0.01,64,64,0.3,0.8249027132987976
0.01,64,64,0.5,0.7892347574234009
0.01,64,128,0.3,0.8242542147636414
0.01,64,128,0.5,0.7892347574234009
0.01,128,32,0.3,0.8249027132987976
0.01,128,32,0.5,0.7542153000831604
0.01,128,64,0.3,0.8268482685089111
0.01,128,64,0.5,0.7594033479690552
0.01,128,128,0.3,0.8203631639480591
0.01,128,128,0.5,0.7697795033454895
0.01,256,32,0.3,0.8313878178596497
0.01,256,32,0.5,0.7626459002494812
0.01,256,64,0.3,0.8060959577560425
0.01,256,64,0.5,0.7937743067741394
0.01,256,128,0.3,0.8171206116676331
0.01,256,128,0.5,0.7821011543273926
0.001,64,32,0.3,0.09727626293897629
0.001,64,32,0.5,0.09338521212339401
0.001,64,64,0.3,0.23476004600524902
0.001,64,64,0.5,0.13099870085716248
0.001,64,128,0.3,0.48378729820251465
0.001,64,128,0.5,0.35797664523124695
0.001,128,32,0.3,0.16601815819740295
0.001,128,32,0.5,0.15629053115844727
0.001,128,64,0.3,0.426718533039093
0.001,128,64,0.5,0.3320363163948059
0.001,128,128,0.3,0.6063553690910339
0.001,128,128,0.5,0.5051880478858948
0.001,256,32,0.3,0.38910505175590515
0.001,256,32,0.5,0.3631647229194641
0.001,256,64,0.3,0.5771725177764893
0.001,256,64,0.5,0.47405967116355896
0.001,256,128,0.3,0.649156928062439
0.001,256,128,0.5,0.5894941687583923
0.0001,64,32,0.3,0.0635538250207901
0.0001,64,32,0.5,0.0635538250207901
0.0001,64,64,0.3,0.0635538250207901
0.0001,64,64,0.5,0.0635538250207901
0.0001,64,128,0.3,0.0635538250207901
0.0001,64,128,0.5,0.0635538250207901
0.0001,128,32,0.3,0.0635538250207901
0.0001,128,32,0.5,0.0635538250207901
0.0001,128,64,0.3,0.0635538250207901
0.0001,128,64,0.5,0.0635538250207901
0.0001,128,128,0.3,0.0635538250207901
0.0001,128,128,0.5,0.0635538250207901
0.0001,256,32,0.3,0.0635538250207901
0.0001,256,32,0.5,0.0635538250207901
0.0001,256,64,0.3,0.0635538250207901
0.0001,256,64,0.5,0.0635538250207901
0.0001,256,128,0.3,0.06420233100652695
0.0001,256,128,0.5,0.06420233100652695
